,samplenames,lat,lon
214,Livingstone_F_54945,22.8215806,149.8818477
215,Mackay_F_63479,21.4234422,149.2142038
216,Mallacoota_U_Abigail,37.17910855,148.9966267
217,Mallacoota_U_Annie,37.17910855,148.9966267
218,Mallacoota_U_Blinky,37.17910855,148.9966267
219,Mallacoota_U_Frankie,37.17910855,148.9966267
220,Mallacoota_U_Solo,37.17910855,148.9966267
221,Mallacoota_U_Trip,37.17910855,148.9966267
222,Mallacoota_U_Vicky,37.17910855,148.9966267
223,MBR_F_Bubbles,27.25309204,153.0157036
224,MBR_F_Coco,27.25309204,153.0157036
225,MBR_F_Jadore,27.25309204,153.0157036
226,MBR_F_Josie,27.25309204,153.0157036
227,MBR_F_Julia,27.25309204,153.0157036
228,MBR_F_Lana,27.25309204,153.0157036
229,MBR_F_Millie,27.25309204,153.0157036
230,MBR_F_Rizzo,27.25309204,153.0157036
231,MBR_F_Tamara-O,27.25309204,153.0157036
232,MBR_F_Tanja,27.25309204,153.0157036
233,MBR_F_The-Hoff,27.25309204,153.0157036
234,MBR_M_Andrew,27.25309204,153.0157036
235,MBR_M_Bobby,27.25309204,153.0157036
236,MBR_M_Branson,27.25309204,153.0157036
237,MBR_M_Dazza,27.25309204,153.0157036
238,MBR_M_Doddy,27.25309204,153.0157036
239,Monaro_F_Alex,36.09900452,149.3821479
240,Monaro_F_Annie,36.09900452,149.3821479
241,Monaro_F_Brandy,36.09900452,149.3821479
242,Monaro_F_Bron,36.09900452,149.3821479
243,Monaro_F_CS,36.09900452,149.3821479
244,Monaro_F_Madona,36.09900452,149.3821479
245,Monaro_F_Mia,36.09900452,149.3821479
246,Monaro_F_Sage,36.09900452,149.3821479
247,Monaro_F_Tahlia,36.09900452,149.3821479
248,Monaro_M_Bear,36.09900452,149.3821479
249,Monaro_M_Drew,36.09900452,149.3821479
250,Monaro_M_Evan,36.09900452,149.3821479
251,Monaro_M_Hamish,36.09900452,149.3821479
252,Monaro_M_Jett,36.09900452,149.3821479
253,Monaro_M_Kenny,36.09900452,149.3821479
254,Monaro_M_Malu,36.09900452,149.3821479
255,Monaro_M_Matt,36.09900452,149.3821479
256,Monaro_M_Murray,36.09900452,149.3821479
257,Monaro_M_Tallow,36.09900452,149.3821479
258,Monaro_M_Xavier,36.09900452,149.3821479
259,Murray_River_F_F6,36.040613,145.546066
260,Murray_River_F_F8,36.040613,145.546066
261,Murray_River_F_FA,36.040613,145.546066
262,Murray_River_M_MR001,36.040613,145.546066
263,Murray_River_M_MR002,36.040613,145.546066
264,Murray_River_M_MR003,36.040613,145.546066
265,Murray_River_M_MR005,36.040613,145.546066
266,Murray_River_M_MR006,36.040613,145.546066
267,Murray_River_M_MR007,36.040613,145.546066
268,Murray_River_M_MR008,36.040613,145.546066
269,Murray_River_M_MR009,36.040613,145.546066
270,Murray_River_M_MR010,36.040613,145.546066
271,Narrandera_M_45930,34.75,146.55
272,Narrandra_F_N1,34.75,146.55
273,Narrandra_F_N12,34.75,146.55
274,Narrandra_F_N13,34.75,146.55
275,Narrandra_F_N14,34.75,146.55
276,Narrandra_F_N17,34.75,146.55
277,Narrandra_F_N18,34.75,146.55
